country,year,accessibility_percentage
CRI,2004,95.99281
CRI,2005,96.41047
CRI,2006,96.80759
CRI,2007,97.18443
CRI,2008,97.54159
CRI,2009,97.87914
CRI,2010,98.19809
CRI,2011,98.49878
CRI,2012,98.78107
CRI,2013,99.04613
CRI,2014,99.2952
CRI,2015,99.52898
CRI,2016,99.69976
CRI,2017,99.70152
HRV,2000,98.43725
HRV,2001,98.44444
HRV,2002,98.55528
HRV,2003,98.66539
HRV,2004,98.75365
HRV,2005,98.84101
HRV,2006,98.92747
HRV,2007,99.01305
HRV,2008,99.09772
HRV,2009,99.1815
HRV,2010,99.26438
HRV,2011,99.34636
HRV,2012,99.42753
HRV,2013,99.50776
HRV,2014,99.58691
HRV,2015,99.58684
HRV,2016,99.58675
HRV,2017,99.58667
CUB,2000,92.99272
CUB,2001,93.16483
CUB,2002,93.33368
CUB,2003,93.48936
CUB,2004,93.63318
CUB,2005,93.78159
CUB,2006,93.92888
CUB,2007,94.07504
CUB,2008,94.22006
CUB,2009,94.36385
CUB,2010,94.5065
CUB,2011,94.64803
CUB,2012,94.78844
CUB,2013,94.92381
CUB,2014,95.05771
CUB,2015,95.19134
CUB,2016,95.32452
CUB,2017,95.32758
CYP,2000,99.98502
CYP,2001,99.98508
CYP,2002,99.98505
CYP,2003,99.96111
CYP,2004,99.93728
CYP,2005,99.9101
CYP,2006,99.88023
CYP,2007,99.85039
CYP,2008,99.82059
CYP,2009,99.79086
CYP,2010,99.76115
CYP,2011,99.73149
CYP,2012,99.70188
CYP,2013,99.67228
CYP,2014,99.64268
CYP,2015,99.61307
CYP,2016,99.6132
CYP,2017,99.61329
CZE,2000,99.80612
CZE,2001,99.80582
CZE,2002,99.81139
CZE,2003,99.81698
CZE,2004,99.82258
CZE,2005,99.8282
CZE,2006,99.83384
CZE,2007,99.8395
CZE,2008,99.84518
CZE,2009,99.85088
CZE,2010,99.8566
CZE,2011,99.86234
CZE,2012,99.86819
CZE,2013,99.87411
CZE,2014,99.88001
CZE,2015,99.8801
CZE,2016,99.88017
CZE,2017,99.88026
CIV,2000,70.76078
CIV,2001,70.90609
CIV,2002,71.04907
CIV,2003,71.18935
CIV,2004,71.32729
CIV,2005,71.46185
CIV,2006,71.59372
CIV,2007,71.7229
CIV,2008,71.84938
CIV,2009,71.97251
CIV,2010,72.09296
CIV,2011,72.21072
CIV,2012,72.32546
CIV,2013,72.4372
CIV,2014,72.54596
CIV,2015,72.65446
CIV,2016,72.76205
CIV,2017,72.86895
PRK,2000,99.30294
PRK,2001,99.30254
PRK,2002,99.30215
PRK,2003,99.30176
PRK,2004,99.2395
PRK,2005,98.86547
PRK,2006,98.49234
PRK,2007,98.1201
PRK,2008,97.74876
PRK,2009,97.38017
PRK,2010,97.01418
PRK,2011,96.65021
PRK,2012,96.28833
PRK,2013,95.92847
PRK,2014,95.57068
PRK,2015,95.21488
PRK,2016,94.8621
PRK,2017,94.51245
COD,2000,33.91777
COD,2001,34.46634
COD,2002,35.01624
COD,2003,35.56736
COD,2004,36.11961
COD,2005,36.67493
COD,2006,37.23416
COD,2007,37.79715
COD,2008,38.36274
COD,2009,38.93174
COD,2010,39.50303
COD,2011,40.07741
COD,2012,40.65374
COD,2013,41.23186
COD,2014,41.81209
COD,2015,42.39378
COD,2016,42.97677
COD,2017,43.24332
DNK,2000,100.0
DNK,2001,99.99999
DNK,2002,100.0
DNK,2003,100.0
DNK,2004,100.0
DNK,2005,100.0
DNK,2006,100.0
DNK,2007,100.0
DNK,2008,100.0
DNK,2009,100.0
DNK,2010,100.0
DNK,2011,99.99999
DNK,2012,100.0
DNK,2013,100.0
DNK,2014,100.0
DNK,2015,100.0
DNK,2016,100.0
DNK,2017,100.0
DJI,2000,75.56113
DJI,2001,75.55396
DJI,2002,75.54728
DJI,2003,75.54113
DJI,2004,75.5355
DJI,2005,75.53008
DJI,2006,75.52547
DJI,2007,75.52139
DJI,2008,75.51782
DJI,2009,75.51445
DJI,2010,75.51486
DJI,2011,75.51925
DJI,2012,75.52743
DJI,2013,75.53989
DJI,2014,75.5561
DJI,2015,75.57727
DJI,2016,75.60252
DJI,2017,75.63231
DMA,2000,93.475
DMA,2001,93.75
DMA,2002,94.025
DMA,2003,94.3
DMA,2004,94.575
DMA,2005,94.85
DMA,2006,95.125
DMA,2007,95.4
DMA,2008,95.675
DMA,2009,95.95
DMA,2010,96.225
DMA,2011,96.5
DMA,2012,96.5
DMA,2013,96.5
DMA,2014,96.5
DMA,2015,96.5
DMA,2016,
DMA,2017,
DOM,2000,89.82323
DOM,2001,90.27245
DOM,2002,90.71294
DOM,2003,91.21085
DOM,2004,91.72041
DOM,2005,92.21127
DOM,2006,92.68439
DOM,2007,93.13971
DOM,2008,93.57764
DOM,2009,93.99761
DOM,2010,94.40098
DOM,2011,94.77666
DOM,2012,95.13077
DOM,2013,95.47181
DOM,2014,95.80037
DOM,2015,96.11691
DOM,2016,96.57637
DOM,2017,96.69022
ECU,2000,82.36792
ECU,2001,83.08491
ECU,2002,83.8223
ECU,2003,84.53574
ECU,2004,85.24944
ECU,2005,85.9632
ECU,2006,86.67705
ECU,2007,87.39132
ECU,2008,88.10566
ECU,2009,88.82005
ECU,2010,89.53468
ECU,2011,90.24332
ECU,2012,90.94794
ECU,2013,91.653
